setting,n_features,pr_auc,pr_auc_sd,roc_auc,recall_at_fpr
all,20,0.600821987668333,0.02961933211393091,0.9042563334791169,0.19149081372893131
only:identity,4,0.3557435238877835,0.03222548414050211,0.7674148242359283,0.069595962180331
drop:identity,16,0.5326610819296229,0.03420966991389543,0.8598230002324398,0.15938151643213824
only:network,4,0.34966215256543637,0.00809454115140691,0.7456362433386956,0.08430625000974257
drop:network,16,0.5872758359317686,0.02292412745711423,0.8979078503606387,0.17699637595786732
only:endpoint,4,0.2169349776026607,0.02081592743966705,0.6253675635204242,0.03809832518302766
drop:endpoint,16,0.6035976461290169,0.02599516859690815,0.9030032617289101,0.18872409146432004
only:clinical,4,0.2068461110298243,0.008227927204526798,0.6024879228146122,0.03258278367141205
drop:clinical,16,0.5971946828961369,0.025301813756221873,0.9023485730675258,0.17675024401109674
only:temporal,4,0.49268976462313735,0.03648068901460656,0.83685420169226,0.14047071427143482
drop:temporal,16,0.4086179860366333,0.020733070912307115,0.8076380655354205,0.0934098063734693
