model,roc_auc,pr_auc,best_f1,recall_at_fpr,precision_at_recall50,brier,alerts_per_day,n_train,n_test,fold
LogReg,0.8472376528246454,0.4036718694046317,0.5347964192896333,0.03283369022127052,0.5013966480446927,0.1555175334168678,3.335714285714286,0,10080,0
RandomForest,0.8827291486608703,0.572502231790733,0.5889447236180904,0.16630977872947894,0.6214539007092199,0.09994240591157186,2.6857142857142855,0,10080,0
HistGB,0.898653530361463,0.614251574720237,0.6260650047333544,0.1763026409707352,0.660075329566855,0.07638400418737065,2.5285714285714285,0,10080,0
MLP,0.8930198081646123,0.578865402460981,0.5966850828729281,0.16630977872947894,0.6321428571428571,0.08167797573651364,2.645238095238095,0,10080,0
IsolationForest,0.7421967207101671,0.31814597695936503,0.42449219899911683,0.013561741613133477,0.36481577581733265,0.11092705742828973,4.578571428571428,0,10080,0
Z-score baseline,0.6693610698463289,0.2782068646089075,0.3844544095665172,0.010706638115631691,0.2955685618729097,0.11945481463539036,5.65952380952381,0,10080,0
LogReg,0.8534599237263043,0.3823276470184527,0.5380078636959371,0.004672897196261682,0.5046082949308756,0.15256803575823147,3.045238095238095,0,10080,1
RandomForest,0.8736926760818781,0.5642244033675029,0.5626161278335192,0.19003115264797507,0.6114285714285714,0.09389718348491785,2.5,0,10080,1
HistGB,0.8931732634063345,0.579755446072735,0.5970365016263102,0.16822429906542055,0.6350148367952523,0.07401261024151355,2.407142857142857,0,10080,1
MLP,0.8989539991981629,0.6027141622347048,0.6105106224375698,0.22118380062305296,0.6356513222331048,0.0721931265527383,2.407142857142857,0,10080,1
IsolationForest,0.7448155066236564,0.2932044245245787,0.40912185159972775,0.007009345794392523,0.3403693931398417,0.10721737251086925,4.502380952380952,0,10080,1
Z-score baseline,0.683373850192455,0.2567943487454887,0.37133999311057525,0.006230529595015576,0.26266339869281047,0.11033919412447228,5.826190476190476,0,10080,1
LogReg,0.8808211136520898,0.4277415805759877,0.5827586206896552,0.013787510137875101,0.5499108734402852,0.15217209072284357,2.77037037037037,0,9720,2
RandomForest,0.91100821054404,0.5929043726773501,0.6121593291404612,0.1759935117599351,0.6560509554140127,0.08861521058167793,2.3234567901234566,0,9720,2
HistGB,0.926654295281625,0.646739146294112,0.6631430584918957,0.20924574209245742,0.6963882618510158,0.06497021107354183,2.1876543209876544,0,9720,2
MLP,0.9237105248798531,0.6516262461051785,0.6476190476190476,0.24493106244931062,0.6817180616740088,0.06550330000284199,2.237037037037037,0,9720,2
IsolationForest,0.7850276425822194,0.35299428661876264,0.4534246575342465,0.021086780210867802,0.4027415143603133,0.09851732476414322,3.782716049382716,0,9720,2
Z-score baseline,0.7148806662085451,0.31395292323749807,0.42738589211618255,0.024330900243309004,0.31288032454361053,0.11153105988462414,4.869135802469136,0,9720,2
LogReg,0.8782147226860958,0.4267729260364403,0.5791884816753927,0.012588512981904013,0.532051282051282,0.15186070318117423,2.9580246913580246,0,9720,3
RandomForest,0.8891879997530422,0.5781808803858504,0.574936800288913,0.1848937844217152,0.6120114394661582,0.09557854010966216,2.567901234567901,0,9720,3
HistGB,0.9100220799969901,0.6181928249711576,0.6336842105263157,0.2045633359559402,0.6516393442622951,0.07125479070057103,2.4098765432098768,0,9720,3
MLP,0.9096292942549079,0.6252983645730775,0.6270195943623238,0.22344610542879623,0.6652719665271967,0.07061983201044227,2.360493827160494,0,9720,3
IsolationForest,0.7453615104800134,0.31306294913904953,0.4163593697619846,0.01888276947285602,0.35510887772194305,0.10555120499423623,4.4222222222222225,0,9720,3
Z-score baseline,0.6725960427721138,0.2811622838949174,0.39164276935682096,0.021243115656963022,0.2825410928476233,0.11641674704670332,5.558024691358025,0,9720,3
