budget,cost,loss,ale,cov_mfa,cov_seg,cov_patch,cov_edr,cov_awareness,cov_backup,cov_siem
50000.0,54270.947572691904,39477928.4269621,59216892.640443146,0.1,0.0,0.0,0.1,0.35,0.05,0.05
126000.0,133140.22183855678,22944123.130023446,34416184.69503517,0.35,0.0,0.0,0.2,0.5499999999999999,0.05,0.05
202000.0,206753.03720098935,14271396.84374265,21407095.265613973,0.44999999999999996,0.05,0.05,0.2,0.8000000000000002,0.05,0.1
278000.0,282437.6162418969,8772279.113268895,13158418.669903342,0.65,0.05,0.05,0.25,0.8500000000000002,0.05,0.15000000000000002
354000.0,360992.282750425,5193228.513895233,7789842.77084285,0.9500000000000003,0.05,0.05,0.25,0.8500000000000002,0.05,0.15000000000000002
430000.0,430633.96740007936,3531592.3560991795,5297388.534148769,1.0,0.1,0.1,0.35,0.9000000000000002,0.1,0.15000000000000002
506000.0,508434.87994135806,2705767.7903290475,4058651.685493571,1.0,0.15000000000000002,0.1,0.39999999999999997,1.0,0.15000000000000002,0.25
582000.0,596786.9248762398,2115544.573618737,3173316.8604281056,1.0,0.25,0.1,0.44999999999999996,1.0,0.3,0.3
658000.0,666787.7788151876,1663831.6388941384,2495747.4583412074,1.0,0.35,0.1,0.5499999999999999,1.0,0.3,0.3
734000.0,737785.4886092952,1324832.3671516886,1987248.5507275327,1.0,0.39999999999999997,0.1,0.65,1.0,0.3,0.35
810000.0,824951.978380731,1028105.6971355804,1542158.5457033706,1.0,0.39999999999999997,0.1,0.8000000000000002,1.0,0.3,0.44999999999999996
886000.0,892737.8851186992,896729.087360997,1345093.6310414956,1.0,0.39999999999999997,0.1,0.8500000000000002,1.0,0.35,0.5499999999999999
962000.0,967707.9557428892,771501.2459110591,1157251.8688665887,1.0,0.44999999999999996,0.1,0.9500000000000003,1.0,0.44999999999999996,0.5499999999999999
1038000.0,1045026.4685906492,636542.1591983025,954813.2387974538,1.0,0.5499999999999999,0.1,1.0,1.0,0.49999999999999994,0.5499999999999999
1114000.0,1132419.7073210934,535248.4286919254,802872.643037888,1.0,0.65,0.15000000000000002,1.0,1.0,0.49999999999999994,0.6
1190000.0,1219237.331090368,428850.1856277319,643275.2784415978,1.0,0.8000000000000002,0.15000000000000002,1.0,1.0,0.49999999999999994,0.6
1266000.0,1274062.3502975737,389542.2654581575,584313.3981872363,1.0,0.8500000000000002,0.25,1.0,1.0,0.49999999999999994,0.6
1342000.0,1368622.3463609286,305450.0673717315,458175.10105759726,1.0,1.0,0.25,1.0,1.0,0.49999999999999994,0.6
1418000.0,1429958.0509705506,280910.37306833867,421365.559602508,1.0,1.0,0.3,1.0,1.0,0.49999999999999994,0.7000000000000001
1494000.0,1494569.750557622,258283.2955931861,387424.9433897792,1.0,1.0,0.35,1.0,1.0,0.49999999999999994,0.8000000000000002
1570000.0,1583208.3763998067,230483.5752104719,345725.36281570786,1.0,1.0,0.35,1.0,1.0,0.5499999999999999,0.9500000000000003
1646000.0,1651699.365806872,206465.7483779115,309698.62256686727,1.0,1.0,0.44999999999999996,1.0,1.0,0.6,1.0
1722000.0,1727181.720534773,195087.45391798485,292631.1808769773,1.0,1.0,0.44999999999999996,1.0,1.0,0.9500000000000003,1.0
1798000.0,1808888.741918609,182029.95593128234,273044.9338969235,1.0,1.0,0.65,1.0,1.0,1.0,1.0
1874000.0,1886960.00262443,180633.38077054595,270950.07115581894,1.0,1.0,0.8500000000000002,1.0,1.0,1.0,1.0
1950000.0,1950000.0,178684.1525829927,268026.2288744891,1.0,1.0,1.0,1.0,1.0,1.0,1.0
