parameter,label,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
mfa,MFA coverage,0.22898981744377292,0.1068101366954726,0.33417032001453734,0.32871330442532404,0.2663616224570941,0.3960210967712349
seg,Segmentation coverage,0.08594436494357871,-0.03537260177056265,0.20675251343172593,0.21708981116896178,0.16945890342777112,0.2716144653685986
patch,Patch coverage,-0.007445259287964541,-0.11826533088411043,0.10423742307740662,0.08254656367578825,0.06422381009673792,0.10489570564461022
edr,EDR coverage,0.14818159217340568,0.048477911660213986,0.257771371650769,0.2573076980144583,0.18890403476876547,0.3326819652887063
awareness,Awareness coverage,-0.05529665096248368,-0.15194244974245938,0.05854948828984652,0.07715876734800901,0.06120866281513992,0.09777427554407016
backup,Immutable backup coverage,0.004518530902071383,-0.08457441683818555,0.10027662159452906,0.04416258157099231,0.03132132783055278,0.05863931664207773
siem,SIEM coverage,0.024304094005401646,-0.1416600018944442,0.1584745094866469,0.18142856861850218,0.12603001718387769,0.25462347672142516
containment,Containment latency $m_L$ (h),0.04935128597469912,-0.11953589018949975,0.17695694211031052,0.1640410540768353,0.11107724240249663,0.22707310976335124
impact_delay,Dwell before impact $\delta$ (h),-0.010331641542520927,-0.0862194708661206,0.07620661424771802,0.025504353112972195,0.017912616968176334,0.03485116851871062
detect_scale,Monitoring efficacy scale,-0.03665979669542174,-0.1010330940091434,0.03780214453522113,0.01303420904759635,0.008546732837707337,0.019863888316018194
