parameter,label,low_output,high_output,baseline_output,swing
edr,EDR coverage,13641669.013111323,3858026.3670667787,8012488.402387634,9783642.646044545
mfa,MFA coverage,12271792.093979515,3016161.5803266065,8012488.402387634,9255630.51365291
containment,Containment latency $m_L$ (h),4565208.706418447,12884812.897969615,8012488.402387634,8319604.1915511675
siem,SIEM coverage,10921930.748918919,3477861.5463791103,8012488.402387634,7444069.202539809
seg,Segmentation coverage,10032917.463542111,3170468.126078507,8012488.402387634,6862449.337463604
patch,Patch coverage,11084313.888640603,5560756.794907032,8012488.402387634,5523557.0937335715
awareness,Awareness coverage,9604474.087397195,4773856.834832412,8012488.402387634,4830617.252564783
backup,Immutable backup coverage,10310805.71376843,6276514.031846359,8012488.402387634,4034291.6819220707
impact_delay,Dwell before impact $\delta$ (h),8717226.871177705,5554015.194316886,8012488.402387634,3163211.6768608186
detect_scale,Monitoring efficacy scale,9346300.15360595,6792921.530202182,8012488.402387634,2553378.623403767
